16	-6.81766	-3.16977	
24	-5.49909	-3.12012	
32	-4.10011	-3.02499	
40	-3.00038	-2.86135	
48	-2.11559	-2.67183	
56	-1.39886	-2.44941	
64	-0.809276	-2.19636	
72	-0.243392	-1.91284	
80	0.217665	-1.63195	
88	0.631263	-1.36742	
96	1.05119	-1.05507	
104	1.38571	-0.791555	
112	1.73757	-0.449143	
120	2.04747	-0.203768	
128	2.34201	0.00657811	
136	2.59007	0.164683	
144	2.91364	0.481888	
152	3.10324	0.716008	
160	3.34513	0.837435	
168	3.54899	1.04243	
176	3.74566	1.32408	
184	3.96978	1.43219	
192	4.13717	1.5803	
200	4.31292	1.78577	
208	4.4899	1.93824	
216	4.65775	2.09329	
224	4.83176	2.2686	
232	4.97435	2.39177	
240	5.12367	2.54657	
248	5.27774	2.71544	
256	5.43908	2.86108	
264	5.54402	2.98235	
272	5.68156	3.10543	
280	5.80896	3.2541	
288	5.93255	3.38027	
296	6.05235	3.49729	
304	6.17245	3.59325	
312	6.29146	3.72427	
320	6.39747	3.7963	
328	6.5033	3.94702	
336	6.6176	4.03216	
344	6.71574	4.17182	
352	6.8226	4.2973	
360	6.91565	4.37175	
368	7.01411	4.49934	
376	7.10346	4.5464	
384	7.27059	4.67293	
392	7.2906	4.77977	
400	7.38086	4.90176	
408	7.46645	5.01967	
416	7.55062	5.12409	
